Date,Forecasted Price,Lower CI,Upper CI
2024-09-01,1677273.1113894323,1640955.6572737729,1713590.5655050918
2024-09-02,1675888.6824788793,1627216.2487798682,1724561.1161778904
2024-09-03,1671936.4415780262,1613533.2215938463,1730339.661562206
2024-09-04,1678017.569268265,1611289.7148580342,1744745.423678496
2024-09-05,1676358.1188104013,1602234.7846301314,1750481.4529906712
2024-09-06,1662536.8087561438,1581691.7067492104,1743381.9107630772
2024-09-07,1679878.6892106635,1592829.3218473624,1766928.0565739647
2024-09-08,1682445.1892037676,1589605.2512681389,1775285.1271393963
2024-09-09,1667789.005589912,1569499.0872848358,1766078.9238949881
2024-09-10,1668192.6569435874,1564739.4694445364,1771645.8444426383
2024-09-11,1668043.077629363,1559672.343717519,1776413.811541207
2024-09-12,1666725.3926847242,1553650.7715735685,1779800.01379588
2024-09-13,1659542.2086935963,1533587.1585951322,1785497.2587920604
2024-09-14,1658808.3573380534,1522162.1393414924,1795454.5753346144
2024-09-15,1657214.267500886,1510683.694100411,1803744.840901361
2024-09-16,1661243.6827137037,1505455.503562928,1817031.8618644795
2024-09-17,1660307.5236363083,1495781.8543496965,1824833.19292292
2024-09-18,1652187.606872578,1479365.6329561546,1825009.5807890012
2024-09-19,1664364.825783686,1483626.9670766657,1845102.6844907063
2024-09-20,1667028.4023748266,1478707.0940202915,1855349.7107293617
2024-09-21,1657761.7580125579,1462150.8960420515,1853372.6199830642
2024-09-22,1659158.7107753158,1456520.3544654695,1861797.067085162
2024-09-23,1660729.3525722031,1451299.1790529154,1870159.5260914909
2024-09-24,1659051.5309572562,1443042.9854589093,1875060.0764556031
2024-09-25,1653759.5651207033,1427157.7020203879,1880361.4282210188
2024-09-26,1653405.0282303612,1417163.2703118937,1889646.7861488287
2024-09-27,1653185.8410511436,1407697.0508265502,1898674.631275737
2024-09-28,1656019.0203730566,1401619.5437886098,1910418.4969575035
2024-09-29,1655504.57102274,1392496.141769577,1918513.0002759031
2024-09-30,1650708.8097424638,1379364.4274480555,1922053.192036872
2024-10-01,1659874.810673181,1380443.0407494723,1939306.5805968896
2024-10-02,1662594.9870618156,1375303.3873049817,1949886.5868186494
2024-10-03,1656470.673976047,1361528.8222734402,1951412.5256786537
2024-10-04,1658446.7638299454,1356048.138760539,1960845.3888993517
2024-10-05,1661020.36791129,1351344.4711872211,1970696.2646353587
2024-10-06,1659132.5712557882,1342346.533678288,1975918.6088332883
2024-10-07,1654943.2662739742,1328730.0733205143,1981156.4592274341
2024-10-08,1654809.8858966462,1319710.452476369,1989909.3193169234
2024-10-09,1655392.3256140037,1311644.853023699,1999139.7982043084
2024-10-10,1657528.0483856276,1305345.097729137,2009710.9990421182
2024-10-11,1657259.473794385,1296838.4276570177,2017680.5199317525
2024-10-12,1654401.8369540656,1285926.830896809,2022876.8430113222
2024-10-13,1661812.1693575787,1285455.5163591164,2038168.822356041
2024-10-14,1664565.3458424383,1280488.728385532,2048641.9632993445
2024-10-15,1660273.1459281924,1268628.9685038768,2051917.323352508
2024-10-16,1662586.8974095364,1263518.6384913707,2061655.156327702
2024-10-17,1665745.271284453,1259388.5451724543,2072101.997396452
2024-10-18,1663735.0502237435,1250218.3002994708,2077251.8001480163
2024-10-19,1660188.6435546565,1237998.5896168174,2082378.6974924956
2024-10-20,1660184.2068579292,1229675.9846799476,2090692.4290359109
2024-10-21,1661234.029249687,1222570.993324337,2099897.065175037
2024-10-22,1662963.1051022206,1216294.2906324903,2109631.919571951
2024-10-23,1662837.8859833986,1208304.283865944,2117371.4881008533
2024-10-24,1661110.2583630015,1198845.6577786235,2123374.8589473795
2024-10-25,1667496.961126453,1197628.5461923103,2137365.3760605957
2024-10-26,1670269.378075043,1192918.227063998,2147620.529086088
2024-10-27,1667045.3782892716,1182327.301429633,2151763.45514891
2024-10-28,1669556.0009025002,1177581.2997287489,2161530.7020762516
2024-10-29,1673055.3205106452,1173929.4854996263,2172181.155521664
2024-10-30,1670973.7207996403,1164797.7713589622,2177149.6702403184
2024-10-31,1667802.1512699423,1153477.2634798137,2182127.039060071
2024-11-01,1667872.894239147,1145657.4146293746,2190088.3738489193
2024-11-02,1669195.220666464,1139210.7432989473,2199179.6980339806
2024-11-03,1670687.2040194902,1133046.1109438662,2208328.2970951144
2024-11-04,1670645.567255971,1125455.3810136206,2215835.7534983214
2024-11-05,1669576.7832117572,1116940.6160258022,2222212.950397712
2024-11-06,1675366.666231745,1115383.5159215014,2235349.8165419884
